time,pos,delta
18.45598125,29.1715107,6.978528976
18.4670127,28.96015358,6.977308273
18.47906407,28.74938393,6.977087021
18.49101243,28.53513527,6.977254868
18.50304037,28.31929398,6.976917267
18.5149914,28.10364914,6.976772308
18.5269942,27.89155579,6.977851868
18.53900636,27.67975235,6.977466583
18.55105582,27.46457863,6.978082657
18.56206219,27.24856949,6.979972839
18.57402052,27.03243256,6.978942871
18.58607949,26.81975365,6.977945328
18.59803032,26.60852814,6.977489471
18.61000898,26.39631653,6.977531433
18.62200889,26.18057251,6.977535248
18.63398821,25.9645195,6.976921082
18.64599012,25.74971771,6.977554321
18.65702508,25.53810501,6.977695465
18.66901386,25.3257103,6.977836609
18.6810136,25.10945892,6.97952652
18.69300612,24.89306831,6.979866028
18.70497351,24.67833328,6.978855133
18.71699607,24.46720886,6.977794647
18.72901763,24.25553322,6.977851868
18.74095127,24.04135513,6.977853775
18.75299698,23.82551575,6.977388382
18.76400483,23.60988617,6.977207184
18.77602257,23.39749146,6.978240967
18.78797336,23.18476677,6.977680206
18.80000341,22.96990204,6.978870392
18.81197614,22.7538681,6.980680466
18.82402181,22.53756332,6.979795456
18.83600293,22.32446098,6.978382111
18.84806574,22.11324883,6.978000641
18.8590108,21.9014473,6.978023529
18.87106926,21.68617058,6.978067398
18.88301199,21.47036171,6.977674484
18.89501554,21.25709534,6.978120804
18.90704578,21.04524231,6.978380203
18.91901224,20.8331356,6.978878021
18.9310149,20.61689568,6.980531693
18.94301371,20.40073776,6.98097229
18.95402635,20.1855278,6.979421616
18.9660102,19.97394943,6.978559494
18.97800836,19.76279449,6.978908539
18.99000864,19.54860687,6.978975296
19.00200536,19.33317375,6.978229523
19.01398822,19.11743927,6.978305817
19.02599622,18.90488815,6.979084015
19.03798473,18.69297981,6.978460312
19.04897744,18.47818756,6.979627609
19.06097783,18.26211929,6.981464386
19.07302769,18.04582787,6.980352402
19.08502438,17.83322525,6.978977203
19.09702506,17.62210083,6.979358673
19.10901484,17.41065216,6.979598999
19.12109525,17.19525146,6.979104996
19.13318875,16.97930527,6.978340149
19.14401148,16.76527214,6.978748322
19.15701619,16.55315971,6.979364395
19.16800042,16.34145737,6.979457855
19.1800801,16.12560654,6.981313705
19.19204782,15.9094305,6.981413841
19.20400625,15.69469929,6.98029232
19.21599954,15.48364067,6.980258942
19.22795725,15.27247047,6.980333328
19.23904472,15.0577879,6.979622841
19.25108057,14.84178448,6.979119301
19.2630074,14.62617397,6.979363441
19.27496929,14.41338634,6.980164528
19.28700325,14.20163822,6.979830742
19.29900343,13.98814964,6.98122406
19.3109974,13.77225685,6.982690811
19.32299196,13.5558815,6.981523514
19.33411402,13.34325409,6.980743408
19.34610925,13.13177681,6.980701447
19.35800744,12.91934776,6.9804039
19.36996876,12.70343113,6.980282784
19.38200449,12.48720264,6.97988987
19.39495797,12.27318573,6.980258942
19.40599723,12.06146336,6.980853081
19.41799419,11.84849072,6.981574059
19.4300039,11.6318655,6.983117104
19.44101666,11.41516018,6.982907295
19.45298452,11.20017147,6.982083321
19.46501209,10.98827457,6.98206234
19.47702657,10.77678871,6.981908798
19.48912895,10.5632391,6.981656075
19.50102546,10.34758282,6.98136425
19.51303726,10.13221073,6.981642723
19.52415194,9.918996811,6.982429504
19.53608149,9.706458092,6.98265934
19.54806433,9.49207592,6.983780861
19.56001512,9.2759161,6.985007286
19.57196942,9.059105873,6.984118462
19.58403497,8.846140862,6.983494759
19.59606456,8.634487152,6.983932495
19.60798921,8.422887802,6.984023094
19.61998504,8.20759964,6.98373127
19.631011,7.991193295,6.983461857
19.64308913,7.776988506,6.984013081
19.65513861,7.564409256,6.984991074
19.66702245,7.351650715,6.986061573
19.67904956,7.135557175,6.987419128
19.69100422,6.91870451,6.987420559
19.7030138,6.703698635,6.98657465
19.71496885,6.491961002,6.987190723
19.72604736,6.280865192,6.987291813
19.73804188,6.067257881,6.986789703
19.75002407,5.85202837,6.98662138
19.76209523,5.636417866,6.987099171
19.77398961,5.423077106,6.988219738
19.78602647,5.211137295,6.988636494
19.79797234,4.996742249,6.989847183
19.81000018,4.780487537,6.991129398
19.82111149,4.563206673,6.990451813
19.83300886,4.349905491,6.990683079
19.84506033,4.13841486,6.99148798
19.85701477,3.926960468,6.990638256
19.869007,3.710818529,6.990204811
19.88096467,3.494235039,6.990484238
19.89299555,3.279423952,6.99125576
19.9050182,3.067088604,6.992457867
19.91696932,2.854650974,6.993206501
19.9280175,2.638515234,6.994512558
19.94002503,2.421623468,6.9944067
19.95200984,2.206541538,6.99403429
19.96402433,1.9944314,6.995445251
19.97608464,1.782687187,6.995406151
19.98802825,1.568829441,6.994242668
20.00001122,1.352481842,6.994214058
20.01201023,1.136571527,6.99487257
20.02402605,0.923260117,6.996750355
20.03501402,0.7115942,6.996968746
20.04714881,0.497876501,6.997683525
20.05911277,0.280570459,6.998936653
20.07114282,0.063017492,6.998116016
20.08316849,359.8491211,6.998840332
20.09501954,359.6376953,6.999542236
20.10700899,359.4264221,6.99911499
20.11907893,359.2105713,6.99822998
20.13108241,358.9938354,6.998352051
20.14305332,358.778717,7.00012207
20.15402596,358.56604,7.001312256
20.16604343,358.3547974,7.001800537
20.1780371,358.138916,7.002807617
20.19002059,357.9221802,7.002929688
20.20201917,357.7066956,7.00289917
20.21401763,357.4941711,7.004425049
20.22599915,357.2827759,7.004425049
20.23800191,357.0687256,7.003051758
20.24902553,356.8526306,7.002838135
20.26102291,356.6364136,7.003967285
20.2730266,356.4224548,7.006134033
20.28602507,356.2108765,7.00604248
20.29711598,355.9976501,7.00668335
20.30905206,355.7810669,7.008178711
20.32103566,355.5637512,7.007446289
20.33302516,355.3500366,7.008361816
20.34510292,355.1381531,7.009643555
20.35607616,354.9266052,7.00869751
20.36801841,354.7110596,7.007629395
20.38003779,354.4944763,7.007995605
20.39200405,354.2787781,7.010162354
20.4040187,354.0671387,7.011138916
20.41600602,353.8559265,7.011749268
20.42800644,353.6398315,7.012817383
